n,m,dist,raw_bytes,compressed_bytes,safe_compressed_bytes_simple,safe_compressed_bytes_advanced
5,10000,even,3330048,1111062,1185322,1089079
5,10000,long_tail,3313664,1109217,1183271,1087018
5,50000,even,12451840,5463727,5640748,5306728
5,50000,long_tail,12455936,5461971,5579695,5302166
5,100000,even,24248320,10869681,11202148,10517242
5,100000,long_tail,24244224,10861596,11084051,10501167
5,200000,even,47632384,21656028,22282219,20907143
5,200000,long_tail,47742976,21667056,22052031,20874116
5,300000,even,71229440,32409376,33348077,31239091
5,300000,long_tail,70946816,32406619,33009290,31209869
10,10000,even,3317760,1115621,1244358,1105958
10,10000,long_tail,3309568,1111754,1260274,1095393
10,50000,even,12451840,5481543,5727400,5341862
10,50000,long_tail,12443648,5466758,5642694,5324348
10,100000,even,24203264,10897714,11311899,10565325
10,100000,long_tail,24260608,10878356,11142594,10534634
10,200000,even,47689728,21715191,22429640,20973422
10,200000,long_tail,47771648,21679419,22132490,20905894
10,300000,even,71098368,32450358,33561935,31319976
10,300000,long_tail,70987776,32420702,33083760,31265124
50,10000,even,3375104,1143911,1888250,1160623
50,10000,long_tail,3362816,1137711,2022017,1138369
50,50000,even,12312576,5442298,6125373,5360822
50,50000,long_tail,12550144,5518790,6320927,5411624
50,100000,even,24375296,10972544,11832695,10702799
50,100000,long_tail,24236032,10953023,11843308,10674966
50,200000,even,47710208,21867179,23108012,21215775
50,200000,long_tail,47681536,21771350,22911949,21105104
50,300000,even,71208960,32725210,34366268,31702877
50,300000,long_tail,71254016,32571597,34012948,31504828
100,10000,even,3420160,1164737,2795234,1201378
100,10000,long_tail,3272704,1094874,2812290,1107983
100,50000,even,12537856,5593201,6909803,5564722
100,50000,long_tail,12603392,5558468,7218928,5483612
100,100000,even,24424448,11076779,12537808,10895175
100,100000,long_tail,24350720,11009752,12659844,10785688
100,200000,even,47943680,21951242,23729657,21395128
100,200000,long_tail,47783936,21879858,23723104,21304452
100,300000,even,71372800,32827877,34962273,31922619
100,300000,long_tail,71233536,32715335,34825530,31756088
200,10000,even,3563520,1213841,4838399,1276331
200,10000,long_tail,3526656,1218173,4631204,1253572
200,50000,even,12832768,5676436,8430646,5711588
200,50000,long_tail,12759040,5632203,9205857,5589768
200,100000,even,24621056,11189720,13849318,11107303
200,100000,long_tail,23670784,10704011,14008058,10530899
200,200000,even,48713728,22282325,25108368,21897756
200,200000,long_tail,48001024,22040252,25340554,21517781
200,300000,even,72781824,33312575,36253352,32586066
200,300000,long_tail,71581696,32957795,36365890,32128972
400,10000,even,3723264,1286350,8382946,1377614
400,10000,long_tail,3768320,1280837,8116782,1382008
400,50000,even,13139968,5793618,12061120,5911830
400,50000,long_tail,12972032,5767181,12703118,5781923
400,100000,even,24981504,11314288,16816609,11359766
400,100000,long_tail,24788992,11233101,18408665,11127433
400,200000,even,49225728,22509082,28031344,22324025
400,200000,long_tail,48345088,22190749,28869431,21797937
400,300000,even,73195520,33614935,39037917,33121891
400,300000,long_tail,71999488,33137923,39785761,32438984
